Full Name, Brand, Category Name, Properties, MRP, Discount
Fresh Coconut Regular 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 20, 0
Fresh Beetroot 500 g, Fresh, Fresh Vegetables, 500 g, 21, 0
Fresh Mint Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7.5, 0
Fresh Bitter Gourd 750 g, Fresh, Fresh Vegetables, 750 g, 45, 0
Fresh Garlic Whole Regular 300 g, Fresh, Fresh Vegetables, 300 g, 45, 0
Fresh Green Peas 500 g, Fresh, Fresh Vegetables, 500 g, 110, 0
Fresh Basket Broccoli 500 g, Fresh Basket, Fresh Vegetables, 500 g, 120, 0
Fresh Colacasia Arvi Roots 250 g, Fresh, Fresh Vegetables, 250 g, 17, 0
Fresh Gooseberry Indian Amla 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Mushroom Button Unit Pack 1 pc, Fresh, Fresh Vegetables, 1 pc, 46, 0
Fresh Cluster Beans 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Basket Potato 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 28, 0
Fresh Brinjal Long White 500 g, Fresh, Fresh Vegetables, 500 g, 19, 0
Fresh Drumsticks 250 g, Fresh, Fresh Vegetables, 250 g, 20, 0
Fresh Amranths Red Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7, 0
Fresh Pointer Gourd (Parval) 500 g, Fresh, Fresh Vegetables, 500 g, 60, 0
Fresh Basket Onion Packed 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 20, 0
Fresh Basket Onion Packed 5 Kg, Fresh Basket, Fresh Vegetables, 5 Kg, 95, 0
Fresh Avocado 500 g, Fresh, Fresh Vegetables, 500 g, 160, 0
Fresh European (English) Cucumber 500 g, Fresh, Fresh Vegetables, 500 g, 24, 0
Fresh Snake Gourd 500 g, Fresh, Fresh Vegetables, 500 g, 27, 0
Fresh Suran (Elephant Yam) 300 g, Fresh, Fresh Vegetables, 300 g, 16.5, 0
Fresh Radish Red 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Banana Flower 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 15, 0
Fresh Turnip 250 g, Fresh, Fresh Vegetables, 250 g, 27.5, 0
Fresh Banana Stem 1 pc, Fresh, Fresh Vegetables, 1 pc, 15, 0
Fresh Lettuce Iceberg 500 g, Fresh, Fresh Vegetables, 500 g, 80, 0
Fresh Basket Zucchini Green 350 g, Fresh Basket, Fresh Vegetables, 350 g, 42, 0
Fresh Local Cucumber 500 g, Fresh, Fresh Vegetables, 500 g, 31, 0
Fresh Kappa 500 g, Fresh, Fresh Vegetables, 500 g, 18, 0
Fresh Tinda 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Baby Corn 500 g, Fresh, Fresh Vegetables, 500 g, 85, 0
Fresh Lotus Root 100 g, Fresh, Fresh Vegetables, 100 g, 29, 0
Fresh Basket Zucchini Yellow 250 g, Fresh Basket, Fresh Vegetables, 250 g, 35, 0
Fresh Onion Madras 1 Kg, Fresh, Fresh Vegetables, 1 Kg, 105, 0
Healthy Sweet Corn Peri Peri 1 Pc, Healthy, Fresh Vegetables, 1 Pc, 35, 0
Fresh Basket Celery (Indian) 500 g, Fresh Basket, Fresh Vegetables, 500 g, 47.5, 0
Fresh Basket Cucumber American Zero Pesticide 500 g, Fresh Basket, Fresh Vegetables, 500 g, 24.5, 0
Fresh Chilli Small Round 250 g, Fresh, Fresh Vegetables, 250 g, 55, 0
Fresh Basket Chinese Cabbage 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 95, 0
Fresh Basket Bitter Gourd Mini Zero Pesticide 250 g, Fresh Basket, Fresh Vegetables, 250 g, 14.75, 0
Fresh Basket Cabbage Red 700 g, Fresh Basket, Fresh Vegetables, 700 g, 66.5, 0
Hypercity Every Day Onion Seed 100 g, Hypercity Every Day, Fresh Vegetables, 100 g, 55, 0
Fresh Cucumber Madras 750 g, Fresh, Fresh Vegetables, 750 g, 41.25, 0
Fresh Basket Cabbage Zero Peticide 250 g, Fresh Basket, Fresh Vegetables, 250 g, 9.75, 0
Fresh Basket Leek 560 g, Fresh Basket, Fresh Vegetables, 560 g, 100.8, 0
Ambrosia Amaranthus Green 1 Pc, Ambrosia, Fresh Vegetables, 1 Pc, 7, 0
Fresh Banana Flower 1 Kg, Fresh, Fresh Vegetables, 1 Kg, 20, 0
Fresh Coccinia (Tendli) 250 g, Fresh, Fresh Vegetables, 250 g, 10, 0
Fresh Basket Chilli Birds Eye Imported 250 g, Fresh Basket, Fresh Vegetables, 250 g, 225, 0
Fresh Basket Parsley Curle 100 g, Fresh Basket, Fresh Vegetables, 100 g, 29.9, 0
Fresh Basket Chinese Pakchoy 200 g, Fresh Basket, Fresh Vegetables, 200 g, 19, 0
Fresh Basket Cluster Beans 300 g, Fresh Basket, Fresh Vegetables, 300 g, 18, 0
Fresh Ash Gourd 500 g, Fresh, Fresh Vegetables, 500 g, 16, 0
Fresh Basket Lemon 1 pc, Fresh Basket, Fresh Vegetables, 1 pc, 34, 0
Fresh Basket Chilli Jalapeno Xanadu Zero Pesticide 250 g, Fresh Basket, Fresh Vegetables, 250 g, 9.33, 0
Ambrosia Veg Capsicum Orange 300 g, Ambrosia, Fresh Vegetables, 300 g, 22.5, 0
Fresh Basket Chilli Red Imported 300 g, Fresh Basket, Fresh Vegetables, 300 g, 225, 0
Ambrosia Veg Cucumber Green (Indian) 500 g, Ambrosia, Fresh Vegetables, 500 g, 10, 0
Fresh Basket Chilli Habanero Xanadu 100 g, Fresh Basket, Fresh Vegetables, 100 g, 16.9, 0
Ambrosia Veg French Beans 200 g, Ambrosia, Fresh Vegetables, 200 g, 16, 1.6
Fresh Basket Bottle Gourd 750 g, Fresh Basket, Fresh Vegetables, 750 g, 41.25, 0
Fresh Basket Chilli Anaheim Zero Pesticide 250 g, Fresh Basket, Fresh Vegetables, 250 g, 39.75, 0
Fresh Basket Radish White Zero Pesticide 350 g, Fresh Basket, Fresh Vegetables, 350 g, 12.25, 0.53
Fresh Basket Carrots Mini Zero Pesticide 500 g, Fresh Basket, Fresh Vegetables, 500 g, 42.5, 0
Fresh Basket Brinjal Black Long Zero Pesticide 350 g, Fresh Basket, Fresh Vegetables, 350 g, 16.8, 0
Fresh Basket Bottle Gourd Zero Pesticide 750 g, Fresh Basket, Fresh Vegetables, 750 g, 26.25, 0
Fresh Basket Tomato Roma Zero Pesticide 500 g, Fresh Basket, Fresh Vegetables, 500 g, 21, 0
Ambrosia Knol Khol 250 g, Ambrosia, Fresh Vegetables, 250 g, 7.5, 0.75
Ambrosia Sweet Corn Shelled 250 g, Ambrosia, Fresh Vegetables, 250 g, 10, 0
Ambrosia Cherry Tomato Red 250 g, Ambrosia, Fresh Vegetables, 250 g, 25, 2.5
Ambrosia Lettuce Cos 500 g, Ambrosia, Fresh Vegetables, 500 g, 60, 6
Fresh Basket Cherry Tomato Yellow 250 g, Fresh Basket, Fresh Vegetables, 250 g, 49.75, 0
Fresh Ambadi Red Bunch 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 10, 0
Fresh Basket Board Beans 250 g, Fresh Basket, Fresh Vegetables, 250 g, 17.5, 0
Fresh Basket Cucumber White 500 g, Fresh Basket, Fresh Vegetables, 500 g, 16, 1.6
Fresh Basket Zero Pesticide Cherry Tomato 150 g, Fresh Basket, Fresh Vegetables, 150 g, 42, 0
Fresh Basket Chilli Birds Eye Zero Pesticide 250 g, Fresh Basket, Fresh Vegetables, 250 g, 10, 0
Fresh Basket Capsicum Red 400 g, Fresh Basket, Fresh Vegetables, 400 g, 64, 0
Fresh Lemon Grass 200 g, Fresh, Fresh Vegetables, 200 g, 22, 0
Fresh Chilli Bhavanagiri 100 g, Fresh, Fresh Vegetables, 100 g, 8, 0
Fresh Sweet Potato 900 g, Fresh, Fresh Vegetables, 900 g, 43.2, 0
Fresh Basket Ginger 200 g, Fresh Basket, Fresh Vegetables, 200 g, 28, 0
Fresh Basket Brinjal Kateri 500 g, Fresh Basket, Fresh Vegetables, 500 g, 30, 0
Fresh Basket Lady Finger 350 g, Fresh Basket, Fresh Vegetables, 350 g, 20.3, 0
Fresh Basket Brinjal Bharta 500 g, Fresh Basket, Fresh Vegetables, 500 g, 29.5, 0
Fresh Basket Bitter Gourd 250 g, Fresh Basket, Fresh Vegetables, 250 g, 24.75, 0
Fresh Cauliflower 750 g, Fresh, Fresh Vegetables, 750 g, 41.25, 0
Fresh Basket Chilli Green 300 g, Fresh Basket, Fresh Vegetables, 300 g, 15.6, 0
Fresh Brinjal Kateri 500 g, Fresh, Fresh Vegetables, 500 g, 19, 0
Fresh Dil Leaf Shapu Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7.5, 0
Fresh Basket Tomato 800 g, Fresh Basket, Fresh Vegetables, 800 g, 40, 0
Fresh Potato Baby 750 g, Fresh, Fresh Vegetables, 750 g, 26.25, 0
Fresh Broad Beans Avare Chikadi (Papadi) 250 g, Fresh, Fresh Vegetables, 250 g, 24, 0
Fresh Brinjal Gulabi 250 g, Fresh, Fresh Vegetables, 250 g, 10.5, 0
Fresh Basket Carrots English Otty 500 g, Fresh Basket, Fresh Vegetables, 500 g, 37.5, 0
Fresh Spring Onion Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 10, 0
Fresh Knol Khol 250 g, Fresh, Fresh Vegetables, 250 g, 14, 0
Fresh Basket Brinjal White 250 g, Fresh Basket, Fresh Vegetables, 250 g, 10.5, 0
